Time,F{\dext},F{\dint},u{\ddamaged},v{\ddamaged},a{\ddamaged}
0.1346,0.0,6.933878666903499,1.0297274332478672,3.6519374262300452,-4337.775374052555
0.13470000000000001,0.0,6.949399800562758,1.03002752817244,3.2179989516278873,-4340.9941179906045
0.1348,0.0,6.962674794574926,1.030284194883406,2.7838081776943024,-4342.821360681092
0.13490000000000002,0.0,6.973703422587628,1.0304974290043325,2.3495041594623345,-4343.2590039582665
0.135,0.0,6.982486175748453,1.030667240031362,1.9152257397792027,-4342.309389704368
0.1351,0.0,6.989024261266726,1.0307936513054048,1.4811115053614543,-4339.9752986506
0.13520000000000001,0.0,6.993319600749408,1.0308766999799648,1.0472997430144293,-4336.2599482898995
0.1353,0.0,6.995374828311792,1.0309164369846098,0.6139283960249209,-4331.1669915002685
0.13540000000000002,0.0,6.995193288464153,1.030912926984111,0.18113502073147103,-4324.700514368729
0.1355,0.0,6.992779033775445,1.030866248333272,-0.2509432566888403,-4316.865034037498
0.1356,0.0,6.988136822315096,1.0307764930274659,-0.6821697832259943,-4307.665496705582
0.13570000000000002,0.0,6.981272114874176,1.0306437666489086,-1.112408421817257,-4297.107275119672
0.1358,0.0,6.9721910719671545,1.0304681883086886,-1.5415235938864846,-4285.196166264882
0.1359,0.0,6.960900550615735,1.0302498905845838,-1.9693803216236372,-4271.938388478169
0.136,0.0,6.947408100916018,1.029989019454689,-2.3958442699978377,-4257.340579005841
0.1361,0.0,6.931721962390576,1.0296857342268846,-2.820781788496207,-4241.4097909615475
0.13620000000000002,0.0,6.913851060126938,1.0293402074641758,-3.2440599525662694,-4224.153490439697
0.1363,0.0,6.8938050007041705,1.0289526249059346,-3.6655466047497143,-4205.5795532291995
0.1364,0.0,6.871594067909112,1.0285231853850754,-4.085110395501967,-4185.696261815863
0.1365,0.0,6.847229218244164,1.028052100741199,-4.5026208236786935,-4164.512301718659
0.1366,0.0,6.820722076228257,1.0275395957297393,-4.917948276680351,-4142.0367583144825
0.13670000000000002,0.0,6.792084929493035,1.0269859079271502,-5.330964070243693,-4118.279112952372
0.1368,0.0,6.761330723676098,1.0263912876321677,-5.741540487858021,-4093.2492393341845
0.1369,0.0,6.728473057113308,1.0257559977631885,-6.1495508198083915,-4066.957399673221
0.137,0.0,6.693526175332215,1.025080313751802,-6.554869401828034,-4039.4142407196296
0.1371,0.0,6.656504965348724,1.0243645234325194,-6.957371653345534,-4010.630789630376
0.13720000000000002,0.0,6.6174249497691555,1.0236089269287383,-7.356934115319014,-3980.6184498392126
0.1373,0.0,6.576302280699946,1.0228138365349901,-7.753434487646205,-3949.3889967046057
0.1374,0.0,6.533153733467283,1.0219795765955115,-8.146751666133767,-3916.954573046638
0.1375,0.0,6.487996700149034,1.0211064833791865,-8.536765779018074,-3883.327684639504
0.1376,0.0,6.440849182921266,1.0201949049509045,-8.92335822303525,-3848.521195704002
0.13770000000000002,0.0,6.391729787221988,1.0192452010393835,-9.306411699014916,-3812.5483238893307
0.1378,0.0,6.340657714734413,1.018257742901505,-9.685810246997661,-3775.4226357655793
0.1379,0.0,6.287652756192532,1.0172329131832116,-10.061439280859563,-3737.158041472455
0.138,0.0,6.232735284011414,1.016171105777018,-10.433185622434893,-3697.7687900341393
0.1381,0.0,6.175926244745029,1.015072725676185,-10.80093753513367,-3657.269463941404
0.13820000000000002,0.0,6.117247151374224,1.013938188825611,-11.16458475703519,-3615.674974088989
0.1383,0.0,6.056720075427672,1.0127679219694938,-11.524018533455305,-3573.00055431331
0.1384,0.0,5.994367638938598,1.0115623624958172,-11.879131648968588,-3529.261755952362
0.1385,0.0,5.930213006240123,1.0103219582777168,-12.229818458885378,-3484.4744423834227
0.1386,0.0,5.864279875602153,1.0090471675117827,-12.575974920172595,-3438.654783360917
0.13870000000000002,0.0,5.796592470712732,1.0077384585533553,-12.917498621807244,-3391.819249332073
0.1388,0.0,5.727175532006931,1.0063963097488724,-13.254288814551485,-3343.984605552741
0.1389,0.0,5.656054307846204,1.0050212092653257,-13.586246440148164,-3295.167906380847
0.139,0.0,5.583254545551405,1.0036136549168877,-13.913274159923494,-3245.3864891257567
0.1391,0.0,5.508802482292524,1.0021741539887685,-14.235276382785766,-3194.657968119685
